Time,Heartrate,MotionX,MotionY,MotionZ,Battery Level
11:48:08,66,-1,0,-101,93
11:48:09,66,-1,0,-102,93
11:48:11,66,-1,0,-102,93
11:48:12,66,-1,0,-101,93
11:48:13,66,-1,0,-101,93
11:48:15,66,-1,0,-102,93
11:48:16,66,3,0,-99,93
11:48:17,66,103,6,-19,93
11:48:19,66,103,6,2,93
11:48:20,66,99,1,-36,93
11:48:21,66,84,10,8,93
11:48:22,66,-93,-2,6,93
11:48:24,66,-104,4,1,93
11:48:25,66,-29,-44,23,93
11:48:26,66,-1,-102,3,93
11:48:28,66,-32,-79,25,93
11:48:29,66,31,102,21,93
11:48:30,66,1,107,-2,93
11:48:32,66,-2,105,3,93
11:48:33,66,13,-20,-92,93
